datetime,sender_original,message_original,date,month,weekday,hour,sender,is_system_or_media,message_for_sentiment,message_clean_nlp,sentence_original,sentence_for_sentiment,sentence_clean_nlp,tokens,tokens_no_stopwords,stems,lemmas,preprocessed_text,sentiment_score,sentiment_label
2025-11-16 10:43:45,Martin Bratoi,"Good morning everyone,
here is an event that was forwarded to us:

Hello AI & Data Enthusiasts,
We’re thrilled to welcome you to our upcoming AI Meetup (EN) at SRH University Heidelberg — an engaging evening created especially for aspiring data scientists, innovators, and future industry leaders like you.
Join us to gain first-hand insights from industry experts on two of today’s most important AI topics:
• The AI Act: Understanding the legal landscape, responsibilities, and business implications
• GenAI for Corporations: How companies can scale AI responsibly while achieving customisation
This is more than just an event — it’s a unique opportunity to network, ask meaningful questions, and exchange ideas with working professionals, tech leaders, and fellow students. And yes, there will be free food and drinks.
📅 Date: Thursday, 20.11
⏰ Time: 17:00–20:00
📍 Location: SRH University Heidelberg
Spots are limited, and interest is already high — so be sure to secure your place.
Scan the QR code on the flyer or click the link below to register now!

https://meetu.ps/e/PChXv/JLPf8/i

We’re looking forward to seeing you there.",2025-11-16,2025-11,Sunday,10,Sender_038,False,"Good morning everyone, here is an event that was forwarded to us: Hello AI & Data Enthusiasts, We’re thrilled to welcome you to our upcoming AI Meetup (EN) at SRH University Heidelberg — an engaging evening created especially for aspiring data scientists, innovators, and future industry leaders like you. Join us to gain first-hand insights from industry experts on two of today’s most important AI topics: • The AI Act: Understanding the legal landscape, responsibilities, and business implications • GenAI for Corporations: How companies can scale AI responsibly while achieving customisation This is more than just an event — it’s a unique opportunity to network, ask meaningful questions, and exchange ideas with working professionals, tech leaders, and fellow students. And yes, there will be free food and drinks. 📅 Date: Thursday, 20.11 ⏰ Time: 17:00–20:00 📍 Location: SRH University Heidelberg Spots are limited, and interest is already high — so be sure to secure your place. Scan the QR code on the flyer or click the link below to register now! URL We’re looking forward to seeing you there.",good morning everyone here is an event that was forwarded to us hello ai data enthusiasts we re thrilled to welcome you to our upcoming ai meetup en at srh university heidelberg an engaging evening created especially for aspiring data scientists innovators and future industry leaders like you join us to gain first hand insights from industry experts on two of today s most important ai topics the ai act understanding the legal landscape responsibilities and business implications genai for corporations how companies can scale ai responsibly while achieving customisation this is more than just an event it s a unique opportunity to network ask meaningful questions and exchange ideas with working professionals tech leaders and fellow students and yes there will be free food and drinks date thursday time location srh university heidelberg spots are limited and interest is already high so be sure to secure your place scan the qr code on the flyer or click the link below to register now url we re looking forward to seeing you there,Scan the QR code on the flyer or click the link below to register now!,Scan the QR code on the flyer or click the link below to register now!,scan the qr code on the flyer or click the link below to register now,"['scan', 'the', 'qr', 'code', 'on', 'the', 'flyer', 'or', 'click', 'the', 'link', 'below', 'to', 'register', 'now']","['scan', 'qr', 'code', 'flyer', 'click', 'link', 'register']","['scan', 'qr', 'code', 'flyer', 'click', 'link', 'regist']","['scan', 'qr', 'code', 'flyer', 'click', 'link', 'register']",scan qr code flyer click link register,0.0,Neutral
2025-11-16 10:43:45,Martin Bratoi,"Good morning everyone,
here is an event that was forwarded to us:

Hello AI & Data Enthusiasts,
We’re thrilled to welcome you to our upcoming AI Meetup (EN) at SRH University Heidelberg — an engaging evening created especially for aspiring data scientists, innovators, and future industry leaders like you.
Join us to gain first-hand insights from industry experts on two of today’s most important AI topics:
• The AI Act: Understanding the legal landscape, responsibilities, and business implications
• GenAI for Corporations: How companies can scale AI responsibly while achieving customisation
This is more than just an event — it’s a unique opportunity to network, ask meaningful questions, and exchange ideas with working professionals, tech leaders, and fellow students. And yes, there will be free food and drinks.
📅 Date: Thursday, 20.11
⏰ Time: 17:00–20:00
📍 Location: SRH University Heidelberg
Spots are limited, and interest is already high — so be sure to secure your place.
Scan the QR code on the flyer or click the link below to register now!

https://meetu.ps/e/PChXv/JLPf8/i

We’re looking forward to seeing you there.",2025-11-16,2025-11,Sunday,10,Sender_038,False,"Good morning everyone, here is an event that was forwarded to us: Hello AI & Data Enthusiasts, We’re thrilled to welcome you to our upcoming AI Meetup (EN) at SRH University Heidelberg — an engaging evening created especially for aspiring data scientists, innovators, and future industry leaders like you. Join us to gain first-hand insights from industry experts on two of today’s most important AI topics: • The AI Act: Understanding the legal landscape, responsibilities, and business implications • GenAI for Corporations: How companies can scale AI responsibly while achieving customisation This is more than just an event — it’s a unique opportunity to network, ask meaningful questions, and exchange ideas with working professionals, tech leaders, and fellow students. And yes, there will be free food and drinks. 📅 Date: Thursday, 20.11 ⏰ Time: 17:00–20:00 📍 Location: SRH University Heidelberg Spots are limited, and interest is already high — so be sure to secure your place. Scan the QR code on the flyer or click the link below to register now! URL We’re looking forward to seeing you there.",good morning everyone here is an event that was forwarded to us hello ai data enthusiasts we re thrilled to welcome you to our upcoming ai meetup en at srh university heidelberg an engaging evening created especially for aspiring data scientists innovators and future industry leaders like you join us to gain first hand insights from industry experts on two of today s most important ai topics the ai act understanding the legal landscape responsibilities and business implications genai for corporations how companies can scale ai responsibly while achieving customisation this is more than just an event it s a unique opportunity to network ask meaningful questions and exchange ideas with working professionals tech leaders and fellow students and yes there will be free food and drinks date thursday time location srh university heidelberg spots are limited and interest is already high so be sure to secure your place scan the qr code on the flyer or click the link below to register now url we re looking forward to seeing you there,URL We’re looking forward to seeing you there.,URL We’re looking forward to seeing you there.,url we re looking forward to seeing you there,"['url', 'we', 're', 'looking', 'forward', 'to', 'seeing', 'you', 'there']","['url', 'looking', 'forward', 'seeing']","['url', 'look', 'forward', 'see']","['url', 'looking', 'forward', 'seeing']",url looking forward seeing,0.0,Neutral
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and","For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and",for anyone planning to spend the rd semester abroad next year please be aware that the application and,"['for', 'anyone', 'planning', 'to', 'spend', 'the', 'rd', 'semester', 'abroad', 'next', 'year', 'please', 'be', 'aware', 'that', 'the', 'application', 'and']","['planning', 'spend', 'rd', 'semester', 'abroad', 'next', 'year', 'aware', 'application']","['plan', 'spend', 'rd', 'semest', 'abroad', 'next', 'year', 'awar', 'applic']","['planning', 'spend', 'rd', 'semester', 'abroad', 'next', 'year', 'aware', 'application']",planning spend rd semester abroad next year aware application,0.3182,Positive
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,"approval process takes quite a bit of time, and several steps require early coordination with the university.","approval process takes quite a bit of time, and several steps require early coordination with the university.",approval process takes quite a bit of time and several steps require early coordination with the university,"['approval', 'process', 'takes', 'quite', 'a', 'bit', 'of', 'time', 'and', 'several', 'steps', 'require', 'early', 'coordination', 'with', 'the', 'university']","['approval', 'process', 'takes', 'quite', 'bit', 'time', 'several', 'steps', 'require', 'early', 'coordination', 'university']","['approv', 'process', 'take', 'quit', 'bit', 'time', 'sever', 'step', 'requir', 'earli', 'coordin', 'univers']","['approval', 'process', 'take', 'quite', 'bit', 'time', 'several', 'step', 'require', 'early', 'coordination', 'university']",approval process take quite bit time several step require early coordination university,0.4767,Positive
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,"If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally","If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally",if you re considering an exchange semester it s best to begin the process as early as possible ideally,"['if', 'you', 're', 'considering', 'an', 'exchange', 'semester', 'it', 's', 'best', 'to', 'begin', 'the', 'process', 'as', 'early', 'as', 'possible', 'ideally']","['considering', 'exchange', 'semester', 'best', 'begin', 'process', 'early', 'possible', 'ideally']","['consid', 'exchang', 'semest', 'best', 'begin', 'process', 'earli', 'possibl', 'ideal']","['considering', 'exchange', 'semester', 'best', 'begin', 'process', 'early', 'possible', 'ideally']",considering exchange semester best begin process early possible ideally,0.7906,Positive
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,within the next few weeks.,within the next few weeks.,within the next few weeks,"['within', 'the', 'next', 'few', 'weeks']","['within', 'next', 'weeks']","['within', 'next', 'week']","['within', 'next', 'week']",within next week,0.0,Neutral
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,"This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.","This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.",this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress,"['this', 'will', 'help', 'you', 'organise', 'documents', 'meet', 'deadlines', 'and', 'secure', 'the', 'necessary', 'approvals', 'without', 'last', 'minute', 'stress']","['help', 'organise', 'documents', 'meet', 'deadlines', 'secure', 'necessary', 'approvals', 'without', 'last', 'minute', 'stress']","['help', 'organis', 'document', 'meet', 'deadlin', 'secur', 'necessari', 'approv', 'without', 'last', 'minut', 'stress']","['help', 'organise', 'document', 'meet', 'deadline', 'secure', 'necessary', 'approval', 'without', 'last', 'minute', 'stress']",help organise document meet deadline secure necessary approval without last minute stress,0.753,Positive
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,"If enough people are interested, we can arrange a session with the International Office to guide everyone through","If enough people are interested, we can arrange a session with the International Office to guide everyone through",if enough people are interested we can arrange a session with the international office to guide everyone through,"['if', 'enough', 'people', 'are', 'interested', 'we', 'can', 'arrange', 'a', 'session', 'with', 'the', 'international', 'office', 'to', 'guide', 'everyone', 'through']","['enough', 'people', 'interested', 'arrange', 'session', 'international', 'office', 'guide']","['enough', 'peopl', 'interest', 'arrang', 'session', 'intern', 'offic', 'guid']","['enough', 'people', 'interested', 'arrange', 'session', 'international', 'office', 'guide']",enough people interested arrange session international office guide,0.4019,Positive
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,the process.,the process.,the process,"['the', 'process']",['process'],['process'],['process'],process,0.0,Neutral
2025-11-16 21:41:27,Georgios Terzidis,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress.

If enough people are interested, we can arrange a session with the International Office to guide everyone through the process.
If you’d like such a session, please respond to this message so we can gauge interest.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"For anyone planning to spend the 3rd semester abroad next year, please be aware that the application and approval process takes quite a bit of time, and several steps require early coordination with the university. If you’re considering an exchange semester, it’s best to begin the process as early as possible — ideally within the next few weeks. This will help you organise documents, meet deadlines, and secure the necessary approvals without last-minute stress. If enough people are interested, we can arrange a session with the International Office to guide everyone through the process. If you’d like such a session, please respond to this message so we can gauge interest.",for anyone planning to spend the rd semester abroad next year please be aware that the application and approval process takes quite a bit of time and several steps require early coordination with the university if you re considering an exchange semester it s best to begin the process as early as possible ideally within the next few weeks this will help you organise documents meet deadlines and secure the necessary approvals without last minute stress if enough people are interested we can arrange a session with the international office to guide everyone through the process if you d like such a session please respond to this message so we can gauge interest,"If you’d like such a session, please respond to this message so we can gauge interest.","If you’d like such a session, please respond to this message so we can gauge interest.",if you d like such a session please respond to this message so we can gauge interest,"['if', 'you', 'd', 'like', 'such', 'a', 'session', 'please', 'respond', 'to', 'this', 'message', 'so', 'we', 'can', 'gauge', 'interest']","['like', 'session', 'respond', 'message', 'gauge', 'interest']","['like', 'session', 'respond', 'messag', 'gaug', 'interest']","['like', 'session', 'respond', 'message', 'gauge', 'interest']",like session respond message gauge interest,0.7783,Positive
2025-11-16 21:41:45,Georgios Terzidis,"We’re considering offering a Jumble Session on basic SQL in roughly two weeks.
If you’d like to participate, please respond to this message so we can estimate interest and decide whether to go ahead.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"We’re considering offering a Jumble Session on basic SQL in roughly two weeks. If you’d like to participate, please respond to this message so we can estimate interest and decide whether to go ahead.",we re considering offering a jumble session on basic sql in roughly two weeks if you d like to participate please respond to this message so we can estimate interest and decide whether to go ahead,We’re considering offering a Jumble Session on basic SQL in roughly two weeks.,We’re considering offering a Jumble Session on basic SQL in roughly two weeks.,we re considering offering a jumble session on basic sql in roughly two weeks,"['we', 're', 'considering', 'offering', 'a', 'jumble', 'session', 'on', 'basic', 'sql', 'in', 'roughly', 'two', 'weeks']","['considering', 'offering', 'jumble', 'session', 'basic', 'sql', 'roughly', 'two', 'weeks']","['consid', 'offer', 'jumbl', 'session', 'basic', 'sql', 'roughli', 'two', 'week']","['considering', 'offering', 'jumble', 'session', 'basic', 'sql', 'roughly', 'two', 'week']",considering offering jumble session basic sql roughly two week,0.0,Neutral
2025-11-16 21:41:45,Georgios Terzidis,"We’re considering offering a Jumble Session on basic SQL in roughly two weeks.
If you’d like to participate, please respond to this message so we can estimate interest and decide whether to go ahead.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"We’re considering offering a Jumble Session on basic SQL in roughly two weeks. If you’d like to participate, please respond to this message so we can estimate interest and decide whether to go ahead.",we re considering offering a jumble session on basic sql in roughly two weeks if you d like to participate please respond to this message so we can estimate interest and decide whether to go ahead,"If you’d like to participate, please respond to this message so we can estimate interest and decide whether","If you’d like to participate, please respond to this message so we can estimate interest and decide whether",if you d like to participate please respond to this message so we can estimate interest and decide whether,"['if', 'you', 'd', 'like', 'to', 'participate', 'please', 'respond', 'to', 'this', 'message', 'so', 'we', 'can', 'estimate', 'interest', 'and', 'decide', 'whether']","['like', 'participate', 'respond', 'message', 'estimate', 'interest', 'decide', 'whether']","['like', 'particip', 'respond', 'messag', 'estim', 'interest', 'decid', 'whether']","['like', 'participate', 'respond', 'message', 'estimate', 'interest', 'decide', 'whether']",like participate respond message estimate interest decide whether,0.7783,Positive
2025-11-16 21:41:45,Georgios Terzidis,"We’re considering offering a Jumble Session on basic SQL in roughly two weeks.
If you’d like to participate, please respond to this message so we can estimate interest and decide whether to go ahead.",2025-11-16,2025-11,Sunday,21,Sender_034,False,"We’re considering offering a Jumble Session on basic SQL in roughly two weeks. If you’d like to participate, please respond to this message so we can estimate interest and decide whether to go ahead.",we re considering offering a jumble session on basic sql in roughly two weeks if you d like to participate please respond to this message so we can estimate interest and decide whether to go ahead,to go ahead.,to go ahead.,to go ahead,"['to', 'go', 'ahead']","['go', 'ahead']","['go', 'ahead']","['go', 'ahead']",go ahead,0.0,Neutral
2025-11-17 16:39:14,Martin Bratoi,Yes it is,2025-11-17,2025-11,Monday,16,Sender_038,False,Yes it is,yes it is,Yes it is,Yes it is,yes it is,"['yes', 'it', 'is']",[],[],[],,0.4019,Positive
2025-11-17 16:39:36,Vikrant Singh Thakur,Verstanden.,2025-11-17,2025-11,Monday,16,Sender_039,False,Verstanden.,verstanden,Verstanden.,Verstanden.,verstanden,['verstanden'],['verstanden'],['verstanden'],['verstanden'],verstanden,0.0,Neutral
2025-11-17 16:39:42,Martin Bratoi,That's a normal 9-5 day 😂,2025-11-17,2025-11,Monday,16,Sender_038,False,That's a normal 9-5 day 😂,that's a normal day,That's a normal 9-5 day 😂,That's a normal 9-5 day 😂,that's a normal day,"[""that's"", 'a', 'normal', 'day']","[""that's"", 'normal', 'day']","[""that'"", 'normal', 'day']","[""that's"", 'normal', 'day']",that's normal day,0.0,Neutral
2025-11-17 16:40:19,Vikrant Singh Thakur,Lezz go 💯💯💯,2025-11-17,2025-11,Monday,16,Sender_039,False,Lezz go 💯💯💯,lezz go,Lezz go 💯💯💯,Lezz go 💯💯💯,lezz go,"['lezz', 'go']","['lezz', 'go']","['lezz', 'go']","['lezz', 'go']",lezz go,0.0,Neutral
2025-11-18 08:38:13,+91 83296 61608,Do we have Swati ma'am's session today?,2025-11-18,2025-11,Tuesday,8,Sender_024,False,Do we have Swati ma'am's session today?,do we have swati ma'am's session today,Do we have Swati ma'am's session today?,Do we have Swati ma'am's session today?,do we have swati ma'am's session today,"['do', 'we', 'have', 'swati', ""ma'am's"", 'session', 'today']","['swati', ""ma'am's"", 'session', 'today']","['swati', ""ma'am'"", 'session', 'today']","['swati', ""ma'am's"", 'session', 'today']",swati ma'am's session today,0.0,Neutral
2025-11-18 08:44:44,+91 97668 14930,Next Tuesday,2025-11-18,2025-11,Tuesday,8,Sender_030,False,Next Tuesday,next tuesday,Next Tuesday,Next Tuesday,next tuesday,"['next', 'tuesday']","['next', 'tuesday']","['next', 'tuesday']","['next', 'tuesday']",next tuesday,0.0,Neutral
2025-11-18 08:45:12,+91 83296 61608,Thanks,2025-11-18,2025-11,Tuesday,8,Sender_024,False,Thanks,thanks,Thanks,Thanks,thanks,['thanks'],[],[],[],,0.4404,Positive
2025-11-18 09:16:05,~ Yash,What classroom is the lec in?,2025-11-18,2025-11,Tuesday,9,Sender_051,False,What classroom is the lec in?,what classroom is the lec in,What classroom is the lec in?,What classroom is the lec in?,what classroom is the lec in,"['what', 'classroom', 'is', 'the', 'lec', 'in']","['classroom', 'lec']","['classroom', 'lec']","['classroom', 'lec']",classroom lec,0.0,Neutral
2025-11-18 09:16:36,Vikrant Singh Thakur,T-111,2025-11-18,2025-11,Tuesday,9,Sender_039,False,T-111,t,T-111,T-111,t,['t'],[],[],[],,0.0,Neutral
2025-11-18 09:21:59,+91 97668 14930,"Cant find it
where exactly",2025-11-18,2025-11,Tuesday,9,Sender_030,False,Cant find it where exactly,cant find it where exactly,Cant find it where exactly,Cant find it where exactly,cant find it where exactly,"['cant', 'find', 'it', 'where', 'exactly']","['cant', 'find', 'exactly']","['cant', 'find', 'exactli']","['cant', 'find', 'exactly']",cant find exactly,0.0,Neutral
2025-11-18 09:22:25,+91 91 5876 262 1,11th floor,2025-11-18,2025-11,Tuesday,9,Sender_028,False,11th floor,th floor,11th floor,11th floor,th floor,"['th', 'floor']","['th', 'floor']","['th', 'floor']","['th', 'floor']",th floor,0.0,Neutral
2025-11-19 09:21:12,~ Yash,Is the classroom same as yersterday?,2025-11-19,2025-11,Wednesday,9,Sender_051,False,Is the classroom same as yersterday?,is the classroom same as yersterday,Is the classroom same as yersterday?,Is the classroom same as yersterday?,is the classroom same as yersterday,"['is', 'the', 'classroom', 'same', 'as', 'yersterday']","['classroom', 'yersterday']","['classroom', 'yersterday']","['classroom', 'yersterday']",classroom yersterday,0.0,Neutral
2025-11-19 09:21:53,+91 97668 14930,105,2025-11-19,2025-11,Wednesday,9,Sender_030,False,105,,105,105,,[],[],[],[],,0.0,Neutral
2025-11-19 09:32:10,~ Sharvari ♡,Guys please mark the attendance before 9:45,2025-11-19,2025-11,Wednesday,9,Sender_049,False,Guys please mark the attendance before 9:45,guys please mark the attendance before,Guys please mark the attendance before 9:45,Guys please mark the attendance before 9:45,guys please mark the attendance before,"['guys', 'please', 'mark', 'the', 'attendance', 'before']","['mark', 'attendance']","['mark', 'attend']","['mark', 'attendance']",mark attendance,0.3182,Positive
2025-11-19 09:33:08,+49 15510 010935,We have to do the same as yesterday?,2025-11-19,2025-11,Wednesday,9,Sender_004,False,We have to do the same as yesterday?,we have to do the same as yesterday,We have to do the same as yesterday?,We have to do the same as yesterday?,we have to do the same as yesterday,"['we', 'have', 'to', 'do', 'the', 'same', 'as', 'yesterday']",['yesterday'],['yesterday'],['yesterday'],yesterday,0.0,Neutral
2025-11-19 09:33:28,~ Sharvari ♡,Yes,2025-11-19,2025-11,Wednesday,9,Sender_049,False,Yes,yes,Yes,Yes,yes,['yes'],[],[],[],,0.4019,Positive
2025-11-21 12:52:38,Haaris K Khalil,https://www.instagram.com/reel/DRN8BV0jP0b/?igsh=Mml5bDlzc3BxZnNz,2025-11-21,2025-11,Friday,12,Sender_036,False,URL,url,URL,URL,url,['url'],['url'],['url'],['url'],url,0.0,Neutral
2025-11-22 10:15:09,+49 15510 837672,+91 75063 23383 added +49 15510 837672,2025-11-22,2025-11,Saturday,10,Sender_005,False,PHONE added PHONE,phone added phone,PHONE added PHONE,PHONE added PHONE,phone added phone,"['phone', 'added', 'phone']","['phone', 'added', 'phone']","['phone', 'ad', 'phone']","['phone', 'added', 'phone']",phone added phone,0.0,Neutral
